method_id,canonical_name,campaign,branch_ref,claim_layer,method_family,implementation_status,scientific_outcome,mechanical_verdict,primary_metric_value,power,licence_earned,contamination_leakage,supersession_relations,record_confidence,_scope
EGY-07,End-to-end null family — random-pairing / permuted-model / permissive-M9 (§VIII),Egyptian external-anchor calibration gate — negative controls / specificity,research/egyptian-calibration-gate,L6,negative-control null battery (specificity + FP-rate),RUN_CONFIRMATORY,SUPPORTED,specificity_ok=true; permissive_excessive_fp=false; search architecture NOT rejected (gate.py),real M2 0.691 vs random 0.000 / permuted 0.1184 / permissive M9 0.0066 — VERIFIED_FROM_ARTIFACT (results/gate.json.nulls). Note report rounds permissive to 0.007,NOT_APPLICABLE,NONE,"nulls destroy the real correspondence, isolating signal",feeds EGY-10 verdict,HIGH,egyptian
EGY-08,Transcription/sign-value uncertainty sensitivity (§IX),Egyptian external-anchor calibration gate — robustness,research/egyptian-calibration-gate,L6,perturbation sensitivity analysis,RUN_CONFIRMATORY,SUPPORTED,verdict_reverses_under_uncertainty=false (gate.py),top-1 LOW 0.691 / CENTRAL 0.586 / HIGH 0.349; short-recovery LOW 0.685 / CENTRAL 0.577 / HIGH 0.342 (≈50× null) — VERIFIED_FROM_ARTIFACT (results/gate.json.transcription_uncertainty),stays ≫ null even at HIGH,NONE,NOT_APPLICABLE,feeds EGY-10 verdict,HIGH,egyptian
EGY-09,Egyptian-channel power envelope (§X) — minimum useful anchor count,Egyptian external-anchor calibration gate — power sizing,research/egyptian-calibration-gate,L6,power / detectability analysis,RUN_CONFIRMATORY,SUPPORTED,min useful anchors=2; P(NO_POWER at K=3)=0.031 (gate.py),min useful anchors=2; P(NO_POWER at K=3 short)=0.031; recovery by length len2 0.818…len5 1.0 — VERIFIED_FROM_ARTIFACT (results/gate.json.power),this IS the power analysis,NONE,NOT_APPLICABLE,feeds EGY-10 verdict,HIGH,egyptian
EGY-10,Mechanical gate readiness verdict (§XI) → COMPLETE / READY_FOR_PREREG_DRAFT,Egyptian external-anchor calibration gate — final verdict,research/egyptian-calibration-gate,L0,mechanical decision aggregation (10-criterion gate),RUN_CONFIRMATORY,SUPPORTED,"status=COMPLETE, egyptian_channel_readiness=READY_FOR_PREREG_DRAFT (verdict.py, all 10 criteria true)","key_numbers: tier_A_B 152, M2_top1 0.691, baseline_top1 0.434, short_recovery 0.685, min_detectable_anchors 2, null_random 0.0, null_permuted 0.1184, HIGH_uncertainty_recovery 0.342, P_no_power_K3 0.031 — VERIFIED_FROM_ARTIFACT (results/final_verdict.json)",min detectable 2 anchors,NONE (design readiness only),Cretan targets flagged CONFIRMATORY_INELIGIBLE until REQ-01 primary edition collated,"READINESS is DESIGN-level; the later one-shot (EGY-13) returned honest NULL, closing the phonetic-anchor programme. STALE-STATUS FLAG: STATUS.md still headlines 'READY_FOR_PREREG_DRAFT / first channel to pass' and DECISION_LOG stops at E6, neither reflecting the EGY-13 TRIVIAL/NULL downgrade",HIGH,egyptian
EGY-11,REQ-01 Aegean-list apparatus determination via Bělohoubková 2014 thesis (candidate target set),Egyptian external-anchor calibration gate — confirmatory target sourcing,research/egyptian-calibration-gate,L1,philological source collation / target-set freeze (candidate),PARTIALLY_IMPLEMENTED,INCOMPLETE,req01_status=ADVANCED_PROXIMATE_ONLY (not CLOSED); cretan_targets_confirmatory_eligible=false,3 FREEZABLE(candidate) / 2 NOT-freezable — REPORT_ONLY (from thesis + WP cross-check; per-agent apparatus in wf journal),NOT_APPLICABLE,NONE,reading-independence caveat: Edel read eroded ovals using Greek IDs → skeleton not cleanly independent of the answer (§15.6),"SUPERSEDED by EGY-12 (primary edition delivered + collated, REQ-01 CLOSED)",HIGH,egyptian
EGY-12,REQ-01 direct collation of Edel & Görg 2005 primary edition → frozen Cretan confirmatory targets (3→5),Egyptian external-anchor calibration gate — confirmatory target freeze,research/egyptian-calibration-gate,L1,primary-source philological collation / target-set freeze (confirmatory),REPRODUCED,SUPPORTED,REQ-01=CLOSED_PRIMARY_COLLATED; primary_edition_verified=true; confirmatory_eligible=true,"3→5 anchors (Phaistos/Kydonia overturned from not-freezable to freezable via Osing autopsy); Lyktos L→Egyptian r matches the model's learned P(egy|l):r — REPORT_ONLY (collation, targets json sha 6903f5f1)",NOT_APPLICABLE,NONE (freeze only; no matching/sign-value claim),reading-independence §15.6 NOT fully resolved: Falttafeln 13/14 unavailable; claim scoped to 'recovers Edel's ID-informed readings',SUPERSEDES EGY-11 candidate set (ADVANCED_PROXIMATE_ONLY → CLOSED); enables EGY-13,HIGH,egyptian
EGY-13,Cretan-anchor one-shot confirmatory preregistration (mint) + red-team hardening (plan_hash 2eab1536),Egyptian external-anchor calibration gate — one-shot preregistration,research/egyptian-calibration-gate,L6,"pre-registration (frozen plan_hash, fail-closed, one-shot)",RUN_PREREGISTERED,NOT_APPLICABLE,status=FROZEN_MINTED; plan_hash 2eab1536cf70c20d0faebafff813b190b9cea573433698b2fdc2d83825cd130a; supersedes withdrawn v1 (red-team wf_3bfac2b3-fdf → REVISE_THEN_COMMIT),"design targets frozen; input hashes recorded (target b749e2f7, model e76b2f23, skeletonizer feb7e8dc, verdict-script 3cc8a8b2, pool ff83993c) — VERIFIED_FROM_ARTIFACT (prereg json)",endpoint-clearability: realistic r1=2 must reach p<0.05 (else NO_POWER),NONE (prereg only),corpus exclusion by SKELETON not label; firewall: Cretan targets never enter Linear A hypothesis formation/scoring,supersedes withdrawn v1; consumed by EGY-14 (run); v3 lesson recorded (needs sibilant-fold baseline + support>n=1 + independent-correspondence anchors),HIGH,egyptian
EGY-14,Cretan-anchor one-shot confirmatory RUN — mechanical CONFIRM_GENERALIZES vs honest RECOVERED_TRIVIAL / NULL,Egyptian external-anchor calibration gate — one-shot confirmatory test,research/egyptian-calibration-gate,L6,one-shot preregistered confirmatory test + 5-agent adversarial verification,RUN_PREREGISTERED,NULL_PUBLISHED,"pre-registered mechanical verdict = CONFIRM_GENERALIZES (stands, no retune, invariant 3); HONEST interpretation = RECOVERED_TRIVIAL / NULL (adversarial adjudication DOWNGRADE_TO_TRIVIAL, result_stands=false)","r1_M2=3/3, r1_B_id=1, r1_B_egy=1, p=0.0014 (surprisal 9.48 bits); per-anchor Knossos rank_M2 1/B_id 2/B_egy 10, Amnisos 1/2/13, Lyktos 1/1/1 — VERIFIED_FROM_ARTIFACT (results/cretan_oneshot_verdict.json)",p-value establishes non-randomness ONLY; does NOT test robustness to M2's own support (LOO flips) nor M2 vs a fair fold baseline (ties),NONE (downstream vocalization / Linear A probe / sound-JEPA NOT licensed; ≤0.75 cap bounds propagation but does not rescue a mislabeled positive),no bug/leak/preprocessing cheat (harness honest); Edel read final sign as š ≠ answer s → MITIGATES the §15.6 reading-circularity worry,"supersedes the EGY-10 READY optimism in substance; the mechanical CONFIRM stands as pre-registered record while the interpretation is corrected to NULL (append-only, no retune). CONTRADICTS stale STATUS.md/DECISION_LOG which stop at READY_FOR_PREREG_DRAFT",HIGH,egyptian
EA-01-SLOT-CLASSIFIER,Internal-only Linear A slot classifier (Task A),external_anchors,research/external-minoan-anchors,L3,deterministic rule-based tiered classifier (recurrence/position/genre features; stdlib-only),REPRODUCED,STRUCTURAL_ONLY,Frozen manifest of 1165 candidates; 11 tier-B TOPONYM_LIKE = the E3 target set. Deterministic-regeneration hash MATCH.,counts by class x tier (see effective_n); reproducibility hash dc9653a9...5d024551 MATCH,NOT_APPLICABLE,none (STRUCTURAL scaffold only; no transfer licence),leakage-proven internal_only_clean; manifest built provably before any matcher exists,the SAME frozen classifier is inherited UNMODIFIED by la_lb_continuity (packet A) and la_lb_ritual (RITUAL_FORMULA class),HIGH; counts REPORT_ONLY (gold jsonl gitignored) but reproducibility hash VERIFIED_FROM_ARTIFACT,external_language
EA-02-TOPONYM-POWER-ENVELOPE,Toponym-anchor power envelope pilot (Task D / E1),external_anchors,research/external-minoan-anchors,L6,abstract Monte-Carlo power simulation (synthetic anchors/candidates; no real anchor-LA matching),RUN_EXPLORATORY,NO_POWER,Design-level null (provisional): in-sample best-of-search FP~0.72-1.00 = uninformative; held-out FP~0.22-0.30 with recovery only ~0.35-0.45 -> under-powered as naively scoped,in-sample FP 1.00/0.97/1.00/0.98/0.72 and held-out FP 0.26/0.27/0.27/0.22/0.30 for n=2/3/4/5/6; held-out recovery 0.35-0.45,leans NO_POWER for the naive design; the two levers = a FROZEN correspondence model (no search) + longer real skeletons + fewer higher-confidence candidates,none,N/A synthetic; the point is to prevent leakage via a frozen model downstream,provisional NO_POWER stands only for the naive synthetic model; empirical-model verdict pending EA-03/EA-12 fit; motivated the toponym-channel redirect to la_lb_continuity,"HIGH on design intent; envelope numbers REPORT_ONLY (no committed result file), explicitly PROVISIONAL",external_language
EA-03-FROZEN-EGYPTIAN-CORRESPONDENCE-MODEL,Frozen Egyptian->foreign correspondence (group-writing->sound) distortion model (Task C),external_anchors,research/external-minoan-anchors,L7,phonological correspondence model fit on independent calibration data (design),DESIGNED_NOT_RUN,INCOMPLETE,Model NOT fit; calibration source blocker (Hoch PDF OCR-corrupted) found then LIFTED (Kilani 2019 CC-BY clean); fit still not executed this pass,NOT_RECORDED (model not fit),NOT_RECORDED,none,corpus construction excludes every Cretan/Keftiu/LA record by rule,"supersedes the Hoch-OCR blocker for the sign->sound layer (Kilani); gates EA-02 recalibration, EA-04, EA-06",HIGH that it is designed-not-run; source-blocker lift VERIFIED_FROM_ARTIFACT (audit report),external_language
EA-04-LB-MATCHED-SCARCITY-POSITIVE-CONTROL,Linear-B matched-scarcity positive control (Task B / E2),external_anchors,research/external-minoan-anchors,L6,positive-control degradation harness (deciphered comparator degraded to target scale),DESIGNED_NOT_RUN,INCOMPLETE,Protocol + module design + provisional degradation scaffold + 3 tests; NOT executed; no sensitivity claimed,NOT_RECORDED (not executed),gate: if pipeline cannot recover LB->Greek at matched scarcity -> LA test NO_POWER/method-rejected,none,harness refuses to score without a receipt and a held-out split (tested),gates EA-06 (E3) go/no-go; provisional degradation replaced by EA-03 once fit,HIGH (explicitly designed-not-executed),external_language
EA-05-END-TO-END-NULL-FRAMEWORK,End-to-end null framework + adaptive-choice inventory + search-receipt spec (Task C-null / X),external_anchors,research/external-minoan-anchors,L6,end-to-end permutation/synthetic null framework with mandatory machine-readable search receipts,PARTIALLY_IMPLEMENTED,INCOMPLETE,Spec + 10 null families + config schema + generators for families 1/3/4/5/10; families 2/6/7/8/9 stubs pending real anchor+calibration inputs; 5 tests,NOT_RECORDED (framework not executed on real inputs),NOT_RECORDED,none,no adaptive choice may exist outside the receipt,"the la_lb_continuity/ritual campaigns implement analogous 10-12 family nulls that WERE run (LC-08, LR-07)",HIGH (scaffold state explicit),external_language
EA-06-E3-TOPONYM-CONFIRMATORY,Egyptian toponym-anchor confirmatory test (E3),external_anchors,research/external-minoan-anchors,L7,held-out phonetic-anchor confirmatory test (planned),PROPOSED_ONLY,NO_VERDICT_RECORDED,Behind Stage-4 hard human-approval gate; never timestamped or run; EA-02 leans NO_POWER as naively scoped,NOT_RECORDED,provisional NO_POWER-leaning (EA-02) pending recalibration,none (PHONETIC transfer licence NOT_AUTHORIZED),anchors frozen before touching LA; slot manifest frozen first,de-prioritized in favour of the internal LA<->LB toponym channel (la_lb_continuity) after the Salgarella redirect,"HIGH (explicitly proposed-only, gated)",external_language
EA-07-EA5647-PERSONAL-NAMES-GREEK,Personal-name anchor channel (E4) + EA5647 Keftiu-names identification,external_anchors,research/external-minoan-anchors,L8,external-source literature audit + negative-control ingestion (design of a gated channel),RUN_EXPLORATORY,TRIVIAL_RECOVERY,"REQ-03 closed: EA5647's seven Keftiu names read as GREEK via LB/Greek onomastics (Dautais & Gabolde 2022) -> ingested as a Greek NEGATIVE-CONTROL, not a Minoan anchor; the Minoan personal-name channel is thin; channel de-prioritized",7/7 EA5647 names read as Greek (external literature); 0/5 usable as Minoan anchors,low a-priori (thin Minoan personal-name evidence),none,explicitly excluded from primary Egyptian calibration,reinforces toponyms-before-names ordering; feeds Minoan-vs-Greek confound reasoning,"HIGH; EA5647=Greek is literature-recovery, correctly classified TRIVIAL_RECOVERY not a decipherment",external_language
EA-08-E5-ADMIN-SEMANTIC-ONTOLOGY,Mari/Ugarit/Egypt administrative ontology -> LA semantic schema (E5 / RQ1),external_anchors,research/external-minoan-anchors,L4,"external administrative-ontology alignment (semantic channel, design/source-audit)",PROPOSED_ONLY,INCOMPLETE,"Bronze Mari/Kaptara records audited (REQ-04); the supplied Mari scan is a chronology sidebar, not the Kaptara texts; channel not executed; grounded in exploratory main-repo schema_recon (~29-35% vs 0.5% null)","main-repo exploratory admin reconciliation ~29-35% vs 0.5% null (REPORT_ONLY, exploratory input, not this branch)",NOT_RECORDED,"none (would earn at most SEMANTIC, NOT_AUTHORIZED)","exploratory schema results are inputs, not evidence",the schema_recon/schema_induction main-repo work is the exploratory upstream (separate lineage),"MEDIUM; channel design present, upstream number REPORT_ONLY and off-branch",external_language
EA-09-E6-KEFTIU-RITUAL-PHONOLOGY,Keftiu ritual-language phonological constraints (E6 / RQ4),external_anchors,research/external-minoan-anchors,L6,exploratory phonological-inventory constraint (design only),PROPOSED_ONLY,INCOMPLETE,Exploratory-only for phonology; voces magicae distortion + possible non-coherence; NO direct word-matching to LA libation formulae without a separate later prereg,NOT_RECORDED,NOT_RECORDED,none,no direct word-matching to LA formulae permitted,distinct from the internal LA<->LB ritual feasibility (la_lb_ritual) which used NO external Keftiu material,HIGH (explicitly exploratory-deferred),external_language
EA-10-E8-CANDIDATE-LANGUAGE-TOURNAMENT,Candidate-language tournament at equal budget (E8 / RQ5),external_anchors,research/external-minoan-anchors,L8,equal-budget multi-candidate language tournament (design; LAST in ordering),PROPOSED_ONLY,NO_VERDICT_RECORDED,"Runs LAST, only after anchor+calibration+null layers frozen, so it cannot become thesaurus-fishing; not designed in detail or run",NOT_RECORDED,NOT_RECORDED,none (LANGUAGE_ID NOT_AUTHORIZED),cannot run before upstream freezes,aligns with Salgarella's 'etymological trap' articulation (audit note),"HIGH (proposed-only, last in ordering)",external_language
EA-11-E7-POPULATION-PRIOR,Population-history (aDNA/archaeology) prior audit (E7 / RQ6),external_anchors,research/external-minoan-anchors,L8,weak Bayesian prior from population history (design; genes != language),PROPOSED_ONLY,NO_VERDICT_RECORDED,May reorder candidate tests by AT MOST a modest prior-odds nudge; held-out textual evidence remains decisive; not built/run,NOT_RECORDED,NOT_RECORDED,none,cannot determine the verdict,input to EA-10 only,HIGH (proposed-only),external_language
EA-12-EGYPTIAN-CALIBRATION-CORPUS-BUILD,Egyptian foreign-form calibration corpus build (Task B corpus / REQ-02),external_anchors,research/external-minoan-anchors,L7,calibration-corpus construction under frozen inclusion rules (source audit),SOURCE_BLOCKED,INCOMPLETE,Hoch 1994 PDF OCR corrupts the transliteration -> not fittable; no machine-readable Hoch/Schneider table exists; corpus NOT populated. Blocker LIFTED by Kilani 2019 (CC-BY clean) but the corpus was still not populated/frozen this pass -> INCOMPLETE not NO_POWER,NOT_RECORDED (corpus not populated),a too-small subset would itself be NO_POWER for calibration,none,Cretan-target leakage structurally impossible by construction,Kilani supersedes the Hoch-OCR blocker; gates EA-03,HIGH; blocker audit VERIFIED_FROM_ARTIFACT,external_language
LC-01-SIGLA-SILVER-RECONCILE,SigLA<->silver reconciliation crosswalk + corpus delta,la_lb_continuity,research/la-lb-toponym-continuity,L1,deterministic corpus crosswalk / reconciliation,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"matched 575; only-silver 766 (730 genuinely absent); only-SigLA 227 (143 genuinely absent); corpus-composition difference not normalization; silver stays the LA baseline, SigLA supplies sign-identity/palaeography + 143-doc extension",575 matched / 766 only-silver / 227 only-SigLA; ARKH (Arkhanes/Arkalochori) ambiguity + site typos flagged,NOT_APPLICABLE,none (structural reconciliation),learned AB->value aid firewalled from the matching model,feeds LC-02 (equivalence map),HIGH; counts REPORT_ONLY (derived JSON gitignored) but input hashes VERIFIED_FROM_ARTIFACT,external_language
LC-02-AB-SIGN-EQUIVALENCE-MAP,A<->B sign-equivalence map freeze (77 tier-A homomorphs),la_lb_continuity,research/la-lb-toponym-continuity,L1,frozen orthographic equivalence-class construction (blind to known pairs),RUN_CONFIRMATORY,STRUCTURAL_ONLY,"77 tier-A AB homomorphs (LEVEL_1 shared GORILA id; 63 high-attestation >=10 tokens), 299 A-only excluded; deterministic; blindness enforced source+content",77 tier-A homomorphs; LEVEL_3 phonetic values firewalled to §IX ablation,NOT_APPLICABLE,"none (ORTHOGRAPHIC only, not phonetic)",pair-blind + phonetic-blind (tested),load-bearing input to LC-06 matching model (layer A2),HIGH; gold JSON + hash VERIFIED_FROM_ARTIFACT (tracked),external_language
LC-03-KNOWN-PAIR-AUDIT,Known-pair source-critical audit (the five continuities),la_lb_continuity,research/la-lb-toponym-continuity,L5,source-critical provenance audit + quarantine ledger,RUN_CONFIRMATORY,TRIVIAL_RECOVERY,"4 DEVELOPMENT_BENCHMARK, 1 CONFIRMATORY_INELIGIBLE (di-ki-ta absent in silver), 2 SPECULATIVE_MORPHOLOGICAL (di-de-ru, pa-je-re); only PA-I-TO is administrative; TU-RU-SA/I-DA/SE-TO-I-JA are ritual (stone vessels); all post-hoc HIGH, never confirmatory",all five la_candidate_selected_without_lb_reading=false; post-hoc HIGH,NOT_APPLICABLE (development material),none,one-directional I-DA contamination filter is the ONLY ledger touch (proven not to alter PRIMARY/SENSITIVITY),feeds LC-09 known-pair LOO diagnostic + LC-10 P(NO_POWER); reused as LR-03 quarantine in ritual campaign,HIGH; ledger + hash VERIFIED_FROM_ARTIFACT (tracked),external_language
LC-04-LA-CANDIDATE-PACKET-FREEZE,Internal-only LA candidate packet freeze (packet A),la_lb_continuity,research/la-lb-toponym-continuity,L3,frozen candidate-manifest construction with one-directional contamination filter,RUN_CONFIRMATORY,STRUCTURAL_ONLY,"PRIMARY 11 (tier-B TOPONYM_LIKE), SENSITIVITY_1 33, NEGATIVE_CONTROL 21, QUARANTINED 1 (I-DA); 0/5 known forms in PRIMARY/SENSITIVITY -> a-priori near-zero benchmark recovery",11 PRIMARY / 33 SENSITIVITY / 21 NEG / 1 QUARANTINED; 0/5 known in PRIMARY/SENSITIVITY,the tiny 11-candidate set is a central NO_POWER input,none,"generation blind (tested); filter only removes, never adds/retiers",packet A for LC-06; tracked gold jsonl,HIGH; gold jsonl + hash VERIFIED_FROM_ARTIFACT (tracked),external_language
LC-05-LB-TARGET-MANIFEST-FREEZE,Independent LB toponym target manifest freeze (packet B),la_lb_continuity,research/la-lb-toponym-continuity,L4,independent target-manifest construction (LA-firewalled),RUN_CONFIRMATORY,STRUCTURAL_ONLY,"33 targets: 5 DEVELOPMENT (known-pair LB forms), 16 EVALUATION (independent KN toponyms), 12 NEGATIVE_CONTROL (LB non-toponyms); all DĀMOS-attested; confidence 0.45-0.95","33 targets, all DĀMOS-attested; per-target confidence 0.45-0.95",16 EVALUATION targets x 11 candidates = small evaluation grid,none,"packet B carries no LA, no similarity; never placed beside packet A",packet B for LC-06; tracked gold jsonl,HIGH; gold jsonl + hash VERIFIED_FROM_ARTIFACT (tracked),external_language
LC-06-CONTINUITY-MATCHING-MODEL,"Administrative toponym-continuity matching model A1-A5 (exact identity, no free mapping)",la_lb_continuity,research/la-lb-toponym-continuity,L5,exact sign-sequence identity matcher with layered ablations (no free mapping search),RUN_CONFIRMATORY,NULL_PUBLISHED,"PRIMARY_B(11) x EVALUATION(16) = 0 matched pairs at every layer A1-A5; PRIMARY_PLUS_SENSITIVITY(44) x EVALUATION = 0. A clean, specific 0 (H_exact NULL_PUBLISHED)",0 matches at every layer A1-A5 (both PRIMARY and B+C),full for exact continuity (min detectable = 1 pair); zero for drift (LC-10),none (no phonetic/lexical/language claim),CIRCULARITY_LOW (LC-11); all load-bearing components blind/independent,"H_exact=NULL_PUBLISHED, H_drift=NO_POWER (LC-13 closure); ritual redesign = LR campaign","HIGH on 0 result; value REPORT_ONLY (result JSON gitignored, hash-pinned in tracked closure.json)",external_language
LC-07-CONTINUITY-POSITIVE-CONTROLS,Continuity positive controls PC1-PC4 (sensitivity),la_lb_continuity,research/la-lb-toponym-continuity,L5,synthetic-implant + within-script positive controls,RUN_CONFIRMATORY,SUPPORTED,"PC1 exact implant 100% recovery / 0 incidental FP (K=1,3,6); PC2 degraded (1 flagged change) recovered ONLY by A3; PC3 LB-internal 11/11 self-persistence, 0 cross-FP; PC4 PA-I-TO face-validity confirmed","PC1 100%/0FP; PC2 A1/A2=0, A3 recovers; PC3 11/11, 0 cross-FP",confirms exact-continuity sensitivity is 100%,none,PA-I-TO carries no confirmatory weight,gates the interpretation of LC-06; parallels LR-06 (PC-R1..R4),"HIGH; values REPORT_ONLY (result JSON gitignored, hash-pinned)",external_language
LC-08-CONTINUITY-END-TO-END-NULLS,"Continuity end-to-end null families (10 families, N=4000)",la_lb_continuity,research/la-lb-toponym-continuity,L5,end-to-end Monte-Carlo null battery (structure-preserving),RUN_CONFIRMATORY,NULL_PUBLISHED,"Channel is specific: freq-matched FP 1.25%, others 0.6-0.7%, real-data controls 0 matches; combined best-of-search upper bound 3.21%; observed 0 sits inside every null","FP(>=1): family2 0.0125, families 1/3/8 0.006-0.007, combined 0.0321; real-data nulls (6,7,9) exactly 0",specificity good; sensitivity to drift is LC-10,none,input hashes verified; families fixed a priori,feeds LC-13 verdict; parallels LR-07 (12-family ritual nulls),"HIGH; FP values REPORT_ONLY (result JSON gitignored, hash-pinned)",external_language
LC-09-CONTINUITY-HELDOUT,Held-out generalization + known-pair LOO diagnostic (§VI),la_lb_continuity,research/la-lb-toponym-continuity,L5,held-out evaluation + development LOO diagnostic,RUN_CONFIRMATORY,NULL_PUBLISHED,"Held-out PRIMARY(11)xEVALUATION(16)=0 at every layer; known-pair LOO: 2/5 exact-representable (PA-I-TO, SE-TO-I-JA), 3/5 unreachable (TU-RU-SA 2-position drift, I-DA derived length 2vs4, DI-KI-TA absent+derived)",0 held-out matches; 2/5 known-pair exact-representable,sensitivity ceiling = exact-only (quantified in LC-10),none,unit = unique word form (66); tablets never multiply units,the 2/5 exact-representable fraction reappears in LR-03/LR-06 (ritual),"HIGH; values REPORT_ONLY (result JSON gitignored, hash-pinned)",external_language
LC-10-CONTINUITY-POWER-ENVELOPE,Continuity power envelope (exact vs drift) (§VII),la_lb_continuity,research/la-lb-toponym-continuity,L5,power/sensitivity envelope (step function in drift),RUN_CONFIRMATORY,NO_POWER,"Full power for EXACT continuity (min detectable = 1 pair; recovery 1.0); ZERO power for genuine drift (recovery 0.0, undetectable by design); P(NO_POWER) for realistic phenomenon ~0.60",exact min-detectable 1; drift undetectable; P(NO_POWER)~0.60,"step function: FULL exact, ZERO drift",none,N/A,the H_drift=NO_POWER half of LC-13; P(NO_POWER)~0.60 reused in LR-07/LR-08,"HIGH; values REPORT_ONLY (result JSON gitignored, hash-pinned)",external_language
LC-11-CONTINUITY-CIRCULARITY-AUDIT,Continuity circularity audit (§IX),la_lb_continuity,research/la-lb-toponym-continuity,L5,component-wise circularity audit (worst load-bearing component rule),RUN_CONFIRMATORY,SUPPORTED,"CIRCULARITY_LOW: all load-bearing components LOW (candidate blind, target independent, map blind, no thresholds, nulls a priori, held-out once); known-pair use + human exposure MANAGED and non-load-bearing",CIRCULARITY_LOW (no threshold exists; match=exact identity),NOT_APPLICABLE,none,primary channel is NOT circular,certifies LC-06/LC-13 as low-circularity; ritual feasibility construction also low-circularity (LR),"HIGH; verdict REPORT_ONLY (result JSON gitignored, hash-pinned)",external_language
LC-12-CHANNEL-COMPARISON,Risk-adjusted channel comparison (LA<->LB vs Egyptian),la_lb_continuity,research/la-lb-toponym-continuity,L5,risk-adjusted channel comparison,RUN_CONFIRMATORY,PARTIAL_SUPPORT,"LA<->LB far more specific (FP 1.25% vs Egyptian 22-30%) and far lower circularity, but near-zero drift sensitivity; Egyptian buys sensitivity only via an unfit distortion model = the dominant FP/circularity driver; NEITHER supports a confirmatory continuity claim",LA<->LB FP 0.0125 (3.2% best-of) vs Egyptian 0.22-0.30; LA<->LB drift recovery 0.0 vs Egyptian ~0.35-0.45,LA<->LB power ~0 for general continuity; preferable only for exact sub-question,none,N/A,recommends returning to the Egyptian channel after both LA<->LB channels close (echoed in LR-08),HIGH; Egyptian side REPORT_ONLY + provisional,external_language
LC-13-ADMIN-CHANNEL-CLOSURE,Administrative channel final verdict + closure (split verdict),la_lb_continuity,research/la-lb-toponym-continuity,L5,mechanical verdict computation + append-only archival closure,RUN_CONFIRMATORY,NULL_PUBLISHED,"status=COMPLETE, channel_readiness=NO_POWER, circularity=LOW. Split: H_exact=NULL_PUBLISHED (powered, 0 exact pairs observed), H_drift=NO_POWER (drift untestable under no-free-mapping). Recommendation: STOP the channel; do not launch a prospective confirmatory scan","H_exact NULL_PUBLISHED (0 pairs), H_drift NO_POWER; P(NO_POWER)~0.60","exact full, drift zero",none (no phonetic/language-family/decipherment claim),CIRCULARITY_LOW,immutable closure; ritual redesign forked as la_lb_ritual (which also closed NO_POWER),HIGH; hash ledger VERIFIED_FROM_ARTIFACT (tracked); underlying result values REPORT_ONLY,external_language
LR-01-LA-RITUAL-CANDIDATE-INVENTORY,"LA ritual candidate inventory (packet A, internal-only)",la_lb_ritual,research/la-lb-ritual-feasibility,L3,internal-only ritual candidate inventory (feasibility count),RUN_CONFIRMATORY,STRUCTURAL_ONLY,"PRIMARY_RITUAL 9 (7 cross-site, 2 single-site), SENSITIVITY 231 (tier-C hapaxes/libation components), NEGATIVE_CONTROL 20, KNOWN quarantined 3; effective independent PRIMARY signal ~7 -> very few",9 PRIMARY (7 cross-site) / 231 SENSITIVITY / 20 NEG / 3 quarantined,the tiny independent count is the central input to the NO_POWER verdict,none,no LB/phonetic/known-pair/score touched generation (tested); quarantine can only remove,packet A for the ritual feasibility (LR-07/LR-08); parallels LC-04,"HIGH; counts VERIFIED_FROM_ARTIFACT (packet on disk + report), gold jsonl untracked",external_language
LR-02-LB-RITUAL-TARGET-INVENTORY,"LB ritual/religious target inventory (packet B, LB-only)",la_lb_ritual,research/la-lb-ritual-feasibility,L4,independent LB religious-vocabulary inventory (LA-firewalled),RUN_CONFIRMATORY,STRUCTURAL_ONLY,"29 targets: 15 EVALUATION religious, 4 DEVELOPMENT, 4 KNOWN quarantined, 6 NEGATIVE_CONTROL; all DĀMOS-attested; per-target confidence 0.55-0.90",15 EVALUATION / 4 DEVELOPMENT / 4 quarantined / 6 NEG (29 total),15 targets is adequate count but no in-domain exemplar,none,"packet B LB-only, never beside packet A; known LB forms quarantined CONFIRMATORY_INELIGIBLE",packet B for LR-07/LR-08; parallels LC-05,HIGH; counts VERIFIED_FROM_ARTIFACT (packet on disk + report),external_language
LR-03-KNOWN-RITUAL-PAIR-LEDGER,Known ritual-pair quarantine ledger (§VII),la_lb_ritual,research/la-lb-ritual-feasibility,L5,quarantine ledger + edit-distance characterization (public pairs only),RUN_CONFIRMATORY,TRIVIAL_RECOVERY,"5 pairs (incl PA-I-TO admin comparison): SE-TO-I-JA 0 edits, PA-I-TO 0 edits, TU-RU-SA/I-DA/DI-KI-TA 2 edits each; 2/5 exact, 3/5 require 2 edits; all CONFIRMATORY_INELIGIBLE/posthoc HIGH","2/5 exact, 3/5 need 2 edits",removes the only exact drift exemplars from the evaluable set,none,never touches packet A or B; edit-distance only fills a required field,reuses LC-03 discipline; feeds LR-04 drift audit + LR-08 verdict,HIGH; ledger VERIFIED_FROM_ARTIFACT (quarantine jsonl tracked),external_language
