designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel
KH Wc 2039,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2040,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2041,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2042,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2043,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2044,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2045,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2046,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2047,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2048,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2049,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2050,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2051,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2052,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2053,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2056,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2057,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2058,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2059,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2060,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2061,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2062,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2065,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2066,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2067,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2068,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2070a,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2070b,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2097,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2098,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2109,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2111,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2113,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2117a,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document KHWc2117. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KH Wc 2117b,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document KHWc2117. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wb 33a,Knossos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document KNWb33. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wb 33b,Knossos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document KNWb33. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wc 26a,Knossos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document KNWc26. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wc 26b,Knossos,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document KNWc26. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wc <24a>,Knossos,roundel (Wc series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wc <24b>,Knossos,roundel (Wc series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Wc <25>,Knossos,roundel (Wc series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Za 10a,Knossos,stone libation-vessel inscription (Za series),SigLA database entry,2026,,partial,open,"added to SigLA 2026-05-21; SIDE-LEVEL GAP, not a new document: side/face of inventoried document KNZa10. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Za 10b,Knossos,stone libation-vessel inscription (Za series),SigLA database entry,2026,,partial,open,"added to SigLA 2026-05-21; SIDE-LEVEL GAP, not a new document: side/face of inventoried document KNZa10. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
KN Zg <21>,Knossos,stone-object inscription (Zg series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
MA 9,Mallia,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
MA Wc <5a>,Mallia,roundel (Wc series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; SIDE-LEVEL GAP, not a new document: side/face of inventoried document MAWc<5>. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
MA Wc <5b>,Mallia,roundel (Wc series),SigLA database entry,2026,,partial,open,"angle-bracketed designation in SigLA (lost/older-documentation item) — treat with caution; SIDE-LEVEL GAP, not a new document: side/face of inventoried document MAWc<5>. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
MY Zf 2,Mycenae,metal-object inscription (Zf series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PK 1a,Palaiokastro,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; SIDE-LEVEL GAP, not a new document: side/face of inventoried document PK1. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PK 1b,Palaiokastro,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; SIDE-LEVEL GAP, not a new document: side/face of inventoried document PK1. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PE 6,Petras,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 8b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH8a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 12b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH12a/PH12c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 13b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH13a/PH13c. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 17a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 17b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 18b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH18a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 22a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 22b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 26,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 28b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document PH28a. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 29a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 29b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 31a,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH 31b,Phaistos,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH Wb 33a,Phaistos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
PH Wb 33b,Phaistos,flat-based nodule (Wb series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla
