designation,site,description,publication,year,pages,translit_printed,accessibility,notes,channel,sources,class
HT Wc 3012a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3012. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3012b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3012. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3013,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3014a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3014. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3014b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3014. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3015a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3015. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3015b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3015. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3016a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3016. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3016b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3016. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3017a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3017. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3017b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: side/face of inventoried document HTWc3017. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3019-latus,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"SIDE-LEVEL GAP, not a new document: latus (edge) of inventoried document HTWc3019. Inventory may omit sides with no parsed signs (blank or numeral-only?) — verify against GORILA; do not assume completeness. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3020a,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Wc 3020b,Haghia Triada,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Zd 156,Haghia Triada,graffito (Zd series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
HT Zd 157,Haghia Triada,graffito (Zd series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KE 6a,Kea,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KE 6b,Kea,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KE Wc 2a,Kea,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KE Wc 2b,Kea,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 42,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 44,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 56,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 66,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 67,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 68,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 69,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 70,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 72,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 78,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 79,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 93a,Khania,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 93b,Khania,tablet,SigLA database entry,2026,,partial,open,"added to SigLA 2026-06-26; ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH 97,Khania,tablet,SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1003,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1004,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1011,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1012,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1017,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1018,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1019,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wa 1020,Khania,hanging nodule (Wa series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2026,Khania,roundel (Wc series),SigLA database entry,2026,,yes,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap.",sigla,sigla,a_ingestible
KH Wc 2027,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2036,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2037,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2038,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2039,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2040,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2041,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2042,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2043,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2044,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2045,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2046,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2047,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2048,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2049,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2050,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2051,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2052,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2053,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2056,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
KH Wc 2057,Khania,roundel (Wc series),SigLA database entry,2026,,partial,open,"ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.",sigla,sigla,b_acquisition_gap
